author_id,author_name
1,Maple Press
2,Captain Sourabh
3,Uday Satpathy
4,Adriana Locke
5, Nim Gholkar 
6,Mick Bose
7,John Ellsworth
8,Nate Johnson
9,AC Cobble
10,Patrick Dent
11,Andrew Peterson
12,Linsey Hall
13,Munshi Premchand 
14,J. B. Turner
15,J.K. Rowling
16,K.F. Breene
17,Duncan M. Hamilton
18,Kel Kade
19,Amrita Rao
20,Louis LAmour
21,Keith Houghton
22,Win Blevins
23,Greig Beck
24,John Dreese
25,Divyansh Mundra
26,Sir Arthur Conan Doyle
27,Erik Carter
28,Ravi Venkataraman
29, Adrit Saxena 
30,C. G. Cooper
31,Ruskin Bond
32,Fernando Gamboa
33,Ernest Dempsey
34,Rob Sinclair
35,Blake Banner
36,Jordan Marie
37,Terrance Coffey
38,Jeffrey Wilson
39,George Ilian
40,Hourly History
41,Ashlee Vance
42, Ryan Gardner
43, Abhishek Kumar
44,Misty Copeland
45,Benjamin Southerland
46,Richard Branson
47,Adolf Hitler
48,Gregory Watson
49, Stephen Croke
50,M K Gandhi
51,Michael W. Simmons
52, Scarlett Johnson
53,Tony Rohn
54,Arunraj V S
55,Steve Bailey
56,Emmanuel Jones
57, Emmanuel Jones 
58,Joy Lincoln
59,Clayton Geoffreys
60,Roy Brandon 
61,Jamie Cooper
62,Wilco van Rooijen
63, Dhirubhai 
64,Ivan Fernandez
65,Steve Walters
66,Anne Frank
67,Lynn M. Hamilton
68,W.S. Winfield
69,Bakhtiar K. Dadabhoy
70,Tim Bouquet
71,Milkha Singh
72,Sumedha Uppal
73,Sara Gilbert
74,Peter Jennings
75,Adam West
76,University Press Biographies
77,Captivating History
78,Marion Kummerow
79,Amit Ahlawat
80,Kelvin Dorsey
81,Manish Dwivedi
82,Vineet Bajpai
83,David Fradin
84,Clare Whitmell
85,Frontier Desk
86,Radhakrishnan Pillai
87,Rajesh Sharma
88,Kanth Miriyala
89,M Pattabiraman
90,Ken McDonald
91,Kevin Bradnik
92,Prasenjit Paul 
93,Andrew Aziz
94,Tony Donavan
95,Andrii Sedniev
96,Dr. Aruna Polisetty
97,Carl Willis
98,Mark Schaefer
99,99U
100,Nick Kolenda
101,Argena Olivis
102,David J Green
103,Stan Miller
104,Robert Moore
105,J. D. Maxim
106,Entrepreneurship Facts
107,Steve Burns
108,Nanda Kumar K
109,Rashmi Bansal
110,Dave McKinsey
111,Benjamin Graham
112,Alinka Rutkowska
113,Allan Dib
114,Dr. Carrie Rose
115,Madhusudan Sohani
116,David Solyomi
117,Ravi Subramanian
118,Joel Gerschman
119,Trish Bertuzzi
120,Gagan Jain
121,Mahesh Kaushik
122,Daniel H Pink
123,Sachin Kumar
124,James Harley
125,Herb Cohen
126,Christopher Sharpe
127,Lukas Ruebbelke
128,Emily H. Halili
129,Eckhart Wein
130,Greg Lim
131,Jeff Linwood
132,Magnus Lie Hetland
133,Gayle Laakmann McDowell
134,Matthew MacDonald
135,Joshua Bloch
136,Marijn Haverbeke
137,Morrison 
138,Benedetti 
139,Andy Harris
140,Marco Casario
141,Mark Pilgrim
142,Lawson
143,Goetz
144,Devendra Singh
145,Gavin King
146,Herbert Schildt
147,GoalKicker.com
148,Fritz Schneider
149,Yehuda Katz
150,T.J. VanToll
151,Petar Tahchiev
152,Jamie Munro
153,Scott Hartshorn
154,Timothy Moran
155,Tom M. Mitchell
156,Dan Warnock
157,Shekhar Gulati
158,Grant Shipley
159,Raja Malleswara Rao Pattamsetti
160,Eric T. Freeman
161,David A. Chappell
162,Chandermani
163,Bayo Erinle
164,Pawel. Kozlowski
165,David Thomas
166,Adam Freeman
167,Chris Schaefer
168,Rod Johnson
169,David Beazley
170,Jobinesh Purushothaman
171,Sandeep Panda
172,Craig Walls
173,Marten Deinum
174,Knowledge Powerhouse
175,Laura Sales
176,Rima Pai
177,Dr Mukul Tiwari
178,Steven Schuster
179,Freddie Masterson
180,Lewis Fischer 
181,Bruce Bryans
182,Hideko Izumi
183,Advait
184,Linda Westwood
185,Jessica Bingman
186,James Lee
187,Tim Noakes
188,Zoe McKey
189,Brad Pilon
190,Bruce Harlow 
191,Sonica Krishan
192,Arvy Ramanan
193,Raza Imam
194,Uday Pandey
195,Dr. Paramesh Shamanna
196,Bennet Hills
197,Elizabeth Wells
198,L. J. Martin
199,Joshua Smith
200,Nomi Nicole
201,Simone Jacobs
202,Dr. H.K. Bakhru
203,Ramakrishnan B
204,Nutan Lakhanpal
205,Amit Goswami
206,Christopher David Allen
207,Devi Putr
208,Rajiv Dixit
209,Tarun Singh
210,Jennifer Atkins
211,Niklas Weber
212,Mike Johnson
213,Adam Rockman
214,Erik Marcus
215,RICK MARZ
216,Thomas Rohmer
217,Suchitra Malvankar
218,Shameem Akhtar
219,Parul Tyagi
220,Adam Kisiel
221,Short good jokes
222,Donald Shaw
223,Samantha Grant
224,Barclay Henderson
