publisher_id,publisher_name
38, Ryan Gardner
397,52 Amazing Things
416,56 Secrets
378,6 Page Travel Guides
322,A.G. Riddle
253,Aarahan Publishers
258,Aarti V Raman
215,Abhinav Kushwaha
417,Abhishek Kumar
354,Adam Fisher
396,Adam Johnson
170,Adam Kisiel
164,Adam Rockman
179,Adam Smith
64,Adam West
71,Adhyyan Publications
256,Aditi Nath
280,Adrian Tweeley
5,Adriana Locke
26,Adrit Saxena
140,Advait
287,Aggrieved Chipmunk Publications
389,Akademie Schloss Solitude
409,Akhil Bakshi
351,Al Turner
302,Alec Mountain
410,Alex Coverdale
387,Alex J. Weber
379,Alvaro Gonzalez
289,Amazon
252,Amazon Crossing
86,Amazon Publishing
361,Amen Zwa
69,Amit Ahlawat
18,Amrita Rao
395,Amy E. Rogers
307,Anand Udupa
300,Andr Sak
80,Andrew Aziz
296,Andrew Rader
82,Andrii Sedniev
339,Anita Vaani
116,Apress
234,Archangel Ink
319,Archiesman Basu
49,Arunraj V S
148,Arvy Ramanan
199,Ashish Chandra
414,Aviva Publishing
222,Awakened Media
310,Axon Press
221,B. C. Allen Publishing
160,Bacchan Publishing
392,Baka Books
174,Barclay Henderson
191,Bauu Press
331,Ben S. Dobson
41,Benjamin Southerland
152,Bennet Hills
206,Berger McDonald
404,Bibliophile
358,Bill Carson
32,Blake Banner
31,Bloodhound Books
4,Bloody Good Book
14,Bloomsbury
12,Bonnie Doon Press
146,Brad Pilon
211,Brian Tracy
292,Brian Y Glenn
271,Brithe Publishing
138,Bruce Bryans
147,Bruce Harlow 
98,Business News Publishing
27,C. G. Cooper
53,Calvintir Books
108,Canongate Books
3,Captain Sourabh
66,Captivating History
117,CareerCup
210,CareerMonk Publications
13,Cedar Books
375,Charlie Caine
364,Chest Dugger
223,Choose Yourself Media
197,Chris Chappelle
359,Chris Pountney
337,Christian Kallias
394,Christian Stahl
111,Christopher Sharpe
73,Clare Whitmell
10,Cobble Publishing
144,Columbus Publishing
133,Core Mantra Publications
279,Cosmology Science Publishers
297,CreateSpace Independent Publishing Platform
282,CreateSpace Publishing
11,Creativia
346,Dan Stevens
126,Dan Warnock
373,Daniel Munoz Sanchez
355,Daniel Taylor
236,Darius Foroux
17,Dark Rover Publishing
400,Datsy Davies
316,Dave Willmarth
330,David A Wells
89,David J Green
288,David Straker
246,Devayu
122,Devendra Singh
159,Devi Putr
57,Dhirubhai
23,Divyansh Mundra
